First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Michael,Thomas,Buy,9178,ELP,YYZ,First Class,5
Haley,Moss,Buy,23341,LHR,ELP,First Class,5
Mary,Chapman,Buy,8884,ELP,CDG,First Class,2
Richard,Vargas,Buy,8278,YYZ,ELP,Main Cabin,3
Darin,Baker,Buy,18292,BOS,LAX,First Class,1
Philip,Holt,Buy,19109,LAX,ELP,Business Class,2
Kimberly,Richardson,Buy,9202,ELP,HND,Business Class,3
Sarah,Stanton,Buy,13529,CDG,ELP,Main Cabin,8
Cassandra,Cook,Buy,12447,ELP,YYZ,Business Class,2
Kimberly,Johnson,Buy,9456,LAX,ORL,First Class,6
Alyssa,Reese,Buy,19071,ELP,CDG,First Class,5
Susan,Allen,Buy,15022,CUN,ELP,First Class,3
Becky,Simpson,Buy,24133,ELP,CDG,Business Class,7
Emily,Estes,Buy,15629,CUN,ELP,Main Cabin,2
Allen,Arnold,Buy,16711,ELP,LAX,Main Cabin,4
Jennifer,Evans,Buy,13953,BOS,LAX,First Class,1
Kelly,Harris,Buy,23336,ELP,LHR,Business Class,1
Donald,Ramirez,Buy,17581,HND,ELP,Main Cabin,8
Leonard,King,Buy,21938,ELP,DFW,Business Class,7
Ariel,Disney,Buy,10655,LAX,ORL,First Class,5
Joel,Arellano,Buy,8950,JFK,ELP,First Class,6
Nicole,Harvey,Buy,6611,YYZ,ELP,Main Cabin,7
Melissa,Mccormick,Buy,23164,ELP,JFK,Main Cabin,6
Michael,Clarke,Buy,15973,ELP,LAX,First Class,3
Kaa,Disney,Buy,17641,BOS,ELP,Main Cabin,7
Jeremy,Rocha,Buy,12809,ORD,ELP,Business Class,5
Cynthia,Powell,Buy,17516,CJS,MEX,First Class,5
Chad,Clark,Buy,17182,ELP,JFK,Business Class,4
Jessica,Ramirez,Buy,9676,LAX,ELP,Business Class,7
Rhonda,Kane,Buy,12843,ELP,LAS,Business Class,7
Keith,Ellis,Buy,15644,ELP,CDG,First Class,6
Victor,Ross,Buy,19936,LAX,BOS,Main Cabin,7
Tanya,Turner,Buy,23064,ORL,LAX,First Class,6
Elizabeth,Dominguez,Buy,1469,ELP,CDG,Main Cabin,4
Joseph,Hanna,Buy,24698,LAX,ORL,First Class,8
Kelly,Wilson,Buy,17777,JFK,ELP,First Class,7
Brian,Andrews,Buy,15744,CJS,MEX,Business Class,4
Ronald,Martinez,Buy,24355,BOS,ELP,Main Cabin,8
Zachary,Campbell,Buy,22984,DFW,ELP,Business Class,2
Jordan,Wilson,Buy,10671,CUN,ELP,Main Cabin,2
Michelle,Ramirez,Buy,3061,ELP,LAS,Main Cabin,5
Emily,Richardson,Buy,23770,LAS,ELP,Main Cabin,7
Natasha,Wheeler,Buy,20748,ORD,ELP,First Class,4
David,Gross,Buy,5097,ELP,CUN,First Class,4
Nicole,Johnson,Buy,18245,BOS,ELP,Main Cabin,8
Phillip,Meyer,Buy,23429,ELP,LAX,Business Class,7
Craig,Oconnell,Buy,4677,ELP,DFW,Main Cabin,3
Wesley,Williamson,Buy,9175,CUN,ELP,Main Cabin,6
Diana,Rivera,Buy,17322,ELP,ATL,Business Class,7
Alexandra,Simpson,Buy,18252,ELP,LAS,Main Cabin,4
Craig,Schaefer,Buy,22511,ELP,YYZ,Business Class,3
Carlos,Irwin,Buy,9350,ELP,HND,Business Class,6
Erin,Mejia,Buy,11853,CUN,ELP,Main Cabin,2
Linda,Robles,Buy,14354,LAS,ELP,First Class,5
Sarah,Stanton,Buy,16422,DFW,ELP,Main Cabin,3
Jessica,Anderson,Buy,23088,CUN,ELP,Main Cabin,1
Amy,Chase,Buy,11165,ELP,LAX,Main Cabin,2
Robert,Preston,Buy,16849,ELP,DFW,First Class,6
Mitchell,Gross,Buy,12424,BOS,LAX,First Class,6
Carmen,Petersen,Buy,25158,CUN,ELP,Main Cabin,1
Michael,Castillo,Buy,3492,ELP,JFK,First Class,5
Monica,Davenport,Buy,5953,ELP,LHR,First Class,7
Michael,Prince,Buy,4567,ELP,JFK,First Class,8
Michelle,Maynard,Buy,3919,ELP,LAX,Business Class,2
Lauren,Neal,Buy,16494,LHR,ELP,First Class,1
Janet,Hughes,Buy,22833,ELP,DFW,Main Cabin,3
Maria,Mccarthy,Buy,6232,ELP,LAS,Business Class,6
George,Proctor,Buy,26129,ELP,JFK,Business Class,3
Elizabeth,Castillo,Buy,770,ATL,ELP,First Class,6
Karen,Thomas,Buy,855,CUN,ELP,Main Cabin,5
Joseph,Brooks,Buy,12138,CUN,ELP,Main Cabin,5
Erik,Case,Buy,26925,CJS,MEX,Business Class,3
Jermaine,Dean,Buy,8666,LAS,ELP,First Class,5
David,Thomas,Buy,3458,ELP,LAX,Main Cabin,6
Melissa,Evans,Buy,19483,LAX,ORL,First Class,3
James,Henderson,Buy,13169,MEX,CJS,Business Class,4
Christopher,Johnson,Buy,7153,BOS,ELP,Business Class,7
Heidi,Barker,Buy,18504,ELP,ORD,First Class,5
Alexandra,Robinson,Buy,13772,ELP,LHR,Main Cabin,7
Christine,Ellis,Buy,18934,CDG,ELP,First Class,1
Lori,Johnson,Buy,12991,BOS,ELP,Business Class,4
Lisa,Jackson,Buy,24304,ELP,DFW,Main Cabin,1
Joshua,Gomez,Buy,13790,ORL,LAX,Business Class,1
Michael,Martinez,Buy,15564,ELP,BOS,Main Cabin,5
Travis,Ruiz,Buy,23891,ATL,ELP,First Class,7
Jessica,Anderson,Buy,16961,CUN,ELP,Business Class,5
Anthony,Brooks,Buy,289,ELP,HND,First Class,4
Andre,Ramos,Buy,5692,ELP,CUN,Main Cabin,2
Danielle,Chavez,Buy,2077,ELP,CDG,Main Cabin,4
Theresa,Hardy,Buy,12511,ATL,ELP,Main Cabin,2
Sharon,Castillo,Buy,11773,ATL,ELP,Main Cabin,7
Brian,RodilesDelgado,Buy,17842,LAX,BOS,First Class,8
Joanna,Trevino,Buy,4707,ELP,ATL,Main Cabin,6
Vincent,Harrison,Buy,10373,ELP,CUN,First Class,5
Michael,Castillo,Buy,16046,CJS,MEX,Business Class,8
Michael,Cowan,Buy,15115,ELP,LAS,First Class,3
Christina,Villanueva,Buy,15829,LAX,ELP,First Class,4
Bryan,Fields,Buy,12573,LAX,ORL,Business Class,1
Wendy,Montoya,Buy,2833,YYZ,ELP,First Class,2
Erin,Jones,Buy,1332,ELP,HND,First Class,2
Jennifer,Schneider,Buy,6167,ELP,HND,Business Class,6
Elizabeth,Jackson,Buy,4269,ELP,BOS,Main Cabin,1
Dale,Disney,Buy,14102,BOS,LAX,Business Class,7
Derek,Irwin,Buy,14269,YYZ,ELP,Main Cabin,2
Anthony,Sims,Buy,18310,ELP,YYZ,Business Class,8
Mario,Walker,Buy,17047,JFK,ELP,First Class,4
Brenda,Douglas,Buy,17607,ELP,ORD,Main Cabin,1
Doris,Moore,Buy,19472,MEX,CJS,Main Cabin,6
Teresa,Stewart,Buy,20919,JFK,ELP,Main Cabin,4
Olivia,Richardson,Buy,18568,CJS,MEX,First Class,2
Lauren,Neal,Buy,15018,ELP,CUN,Business Class,8
Anthony,Hardin,Buy,15032,YYZ,ELP,First Class,4
April,Lopez,Buy,4245,ELP,ORD,Main Cabin,8
Rhonda,Kane,Buy,19928,BOS,LAX,Business Class,6
Trevor,Young,Buy,20254,ELP,CDG,First Class,7
Rachel,Roberson,Buy,9958,HND,ELP,Main Cabin,7
Mark,Lamb,Buy,6604,ELP,YYZ,First Class,3
Daniel,Hampton,Buy,9380,LAX,ELP,Business Class,3
Bobby,Gonzales,Buy,2515,YYZ,ELP,Business Class,8
Bobby,Bennett,Buy,24572,CUN,ELP,Main Cabin,8
Mark,Rogers,Buy,4317,BOS,LAX,Main Cabin,2
Ronald,Bond,Buy,22790,LAX,BOS,Business Class,2
Joe,Cochran,Buy,23391,ELP,YYZ,Main Cabin,1
Michael,Nunez,Buy,18492,DFW,ELP,First Class,4
Brandon,Flores,Buy,2489,BOS,LAX,First Class,1
Gabriela,SigalaAcosta,Buy,13468,CJS,MEX,First Class,5
Nicholas,Jackson,Buy,14793,JFK,ELP,Business Class,7
Mark,Stewart,Buy,2568,ORD,ELP,Business Class,7
Gabriel,Terrazas,Buy,16250,ELP,CDG,Main Cabin,5
Michael,Fox,Buy,20679,LAX,BOS,Main Cabin,6
John,Blevins,Buy,20859,ELP,HND,Main Cabin,6
Eduardo,Romero,Buy,24427,YYZ,ELP,Main Cabin,3
Lauren,Neal,Buy,9935,YYZ,ELP,Main Cabin,3
David,Costa,Buy,2571,ORD,ELP,Business Class,8
Jessica,Lloyd,Buy,26696,DFW,ELP,First Class,4
Caroline,Torres,Buy,14105,LAX,BOS,Business Class,2
Theresa,Clark,Buy,23597,ORD,ELP,Main Cabin,3
Andrew,Parks,Buy,21758,ELP,CDG,First Class,5
Matthew,Porter,Buy,8203,ELP,BOS,Business Class,5
Brian,Lopez,Buy,16073,LAX,BOS,Business Class,6
Alexis,Black,Buy,14565,ELP,CUN,First Class,2
Mark,Butler,Buy,14372,MEX,CJS,Business Class,6
Kevin,Larson,Buy,552,ELP,CUN,Main Cabin,2
Victoria,Martin,Buy,11470,ELP,ORD,Main Cabin,1
Diana,Garcia,Buy,21280,ELP,CUN,First Class,8
Tammy,Waters,Buy,19707,ORD,ELP,First Class,2
Tonya,Elliott,Buy,9900,ORL,LAX,First Class,4
Elizabeth,Dominguez,Buy,18764,ELP,YYZ,First Class,3
Stephen,Ellis,Buy,15179,YYZ,ELP,Business Class,8
Amber,Long,Buy,20323,ELP,BOS,Main Cabin,5
Jared,Scott,Buy,24729,YYZ,ELP,Main Cabin,8
Michelle,Griffin,Buy,539,LAX,ORL,Business Class,6
Jasmine,Ramirez,Buy,20889,ELP,ORD,First Class,8
Philip,Zamora,Buy,26849,ELP,LAX,Business Class,8
Andrew,Torres,Buy,5369,MEX,CJS,First Class,2
Michael,Mccormick,Buy,21719,LAX,ORL,Main Cabin,6
Jerry,Lee,Buy,5432,HND,ELP,Main Cabin,6
Erin,Barton,Buy,16123,DFW,ELP,Main Cabin,8
Maria,Mccarthy,Buy,125,YYZ,ELP,First Class,1
Debra,Blackwell,Buy,24991,ORL,LAX,Business Class,1
Jessica,Martin,Buy,8748,ELP,DFW,Business Class,3
James,Romero,Buy,6081,ELP,BOS,Business Class,8
Sandra,Newton,Buy,23680,CUN,ELP,First Class,1
Sheila,Lewis,Buy,19606,LHR,ELP,Business Class,2
Chad,Clark,Buy,16245,YYZ,ELP,Business Class,6
Justin,Hawkins,Buy,10989,ELP,CDG,First Class,1
Luis,Sanchez,Buy,8130,ELP,CDG,First Class,4
Lawrence,Price,Buy,22319,CJS,MEX,Main Cabin,3
Jennifer,Smith,Buy,18686,JFK,ELP,First Class,3
Edward,Jackson,Buy,25446,LAX,BOS,Main Cabin,5
Allison,Weaver,Buy,2089,ELP,HND,First Class,6
Jessica,Ramirez,Buy,6874,CJS,MEX,Main Cabin,3
Molly,Cohen,Buy,3025,ORD,ELP,First Class,7
Jasmin,Cuevas,Buy,23683,ELP,YYZ,First Class,3
James,Henderson,Buy,10610,ELP,BOS,First Class,6
Kim,Craig,Buy,10464,ELP,BOS,Main Cabin,5
Jared,Perry,Buy,22629,MEX,CJS,Main Cabin,8
Stephanie,Mcdonald,Buy,14630,ORD,ELP,Business Class,1
Marc,Driver,Buy,2197,BOS,LAX,Main Cabin,2
Amber,Long,Buy,5829,ORL,LAX,Business Class,6
Jessica,Olsen,Buy,9521,ELP,LAX,First Class,8
Holly,Davidson,Buy,4308,ORL,LAX,First Class,8
Cinderella,Disney,Buy,15455,ORL,LAX,Main Cabin,8
Cruella,De Vil,Buy,11302,ELP,DFW,First Class,6
Elizabeth,Cordova,Buy,16868,LAX,ELP,Business Class,1
Christine,Ellis,Buy,14002,ELP,DFW,Business Class,1
Shane,Miller,Buy,1012,CUN,ELP,Main Cabin,3
David,Johnson,Buy,20474,BOS,ELP,First Class,4
Gerald,Beltran,Buy,14565,ELP,CUN,Main Cabin,6
Michael,Smith,Buy,5754,LAX,ELP,Business Class,7
Lisa,Jackson,Buy,5967,MEX,CJS,Main Cabin,8
Victor,Ross,Buy,7865,ELP,ORD,Business Class,2
Monica,Sullivan,Buy,7112,ELP,LAX,First Class,5
George,Gilbert,Buy,25570,MEX,CJS,Business Class,6
Elizabeth,Reyes,Buy,12647,ELP,LAX,Main Cabin,1
Ryan,Peterson,Buy,24104,LAX,BOS,First Class,5
Justin,Martinez,Buy,1464,YYZ,ELP,Main Cabin,2
Michael,Santoyo,Buy,11044,ATL,ELP,Main Cabin,1
David,Costa,Buy,11942,ELP,LAS,Main Cabin,2
Craig,Oconnell,Buy,16268,ELP,DFW,Main Cabin,3
Darin,Porter,Buy,294,HND,ELP,First Class,4
Daniel,Olson,Buy,5627,ELP,BOS,Business Class,2
Lisa,Peters,Buy,834,LAX,ORL,Business Class,8
John,Davis,Buy,7611,ELP,LAS,First Class,4
Michael,Sanchez,Buy,7160,ELP,LAS,First Class,7
