ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAirlines Membership,Username,Password
1,Mickey,Mouse,2/21/1921,Customer,10793.11,0,true,mickeymouse,Fun!23
2,Donald,Duck,7/10/1949,Customer,7391.37,0,false,donaldduck,Fun!23
3,Minnie,Mouse,11/23/1921,Customer,15599.17,0,false,minniemouse,Fun!23
4,Goofy,Disney,12/14/1919,Customer,6755.07,0,false,goofydisney,Fun!23
5,Pluto,Disney,2/28/1903,Customer,15155.13,0,false,plutodisney,Fun!23
6,Chip,Disney,1/16/1938,Customer,14312.35,0,false,chipdisney,Fun!23
7,Dale,Disney,5/9/1984,Customer,15568.32,0,false,daledisney,Fun!23
8,Cinderella,Disney,12/8/1993,Customer,17479.63,0,true,cinderelladisney,Fun!23
9,Ariel,Disney,1/26/1946,Customer,14258.9,0,false,arieldisney,Fun!23
10,Jasmine,Disney,10/10/1933,Customer,13082.09,0,true,jasminedisney,Fun!23
11,Aladdin,Disney,2/8/1998,Customer,7974.04,0,true,aladdindisney,Fun!23
12,Simba,Disney,7/5/1930,Customer,9091.29,0,false,simbadisney,Fun!23
13,Mufassa,Disney,1/27/1961,Customer,11371.95,0,false,mufassadisney,Fun!23
14,Aurora,Disney,8/16/1925,Customer,5329.51,0,true,auroradisney,Fun!23
15,Peter,Pan,7/2/1987,Customer,16783.19,0,true,peterpan,Fun!23
16,Woody,Disney,1/7/1956,Customer,14019.18,0,false,woodydisney,Fun!23
17,Buzz,Lightyear,5/6/1937,Customer,4363.89,0,false,buzzlightyear,Fun!23
18,Jafar,Aladdin,11/16/1968,Customer,17624.91,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,2/14/1988,Customer,17543.06,0,false,urselamermaid,Fun!23
20,Beast,Disney,11/22/1962,Customer,19244.63,0,true,beastdisney,Fun!23
21,Belle,Disney,3/26/1933,Customer,18413.19,0,true,belledisney,Fun!23
22,Cruella,De Vil,6/20/1951,Customer,7376.27,0,false,cruellade vil,Fun!23
23,Scar,Lion,4/13/1929,Customer,3200.36,0,true,scarlion,Fun!23
24,Simba,King,12/5/1925,Customer,19857.14,0,true,simbaking,Fun!23
25,Gaston,Disney,9/14/1954,Customer,17594.07,0,true,gastondisney,Fun!23
26,Shere,Khan,7/17/1917,Customer,16971.77,0,true,sherekhan,Fun!23
27,Captaiin,Hook,6/29/1923,Customer,15162.75,0,true,captaiinhook,Fun!23
28,Kaa,Disney,3/12/1987,Customer,19843.84,0,true,kaadisney,Fun!23
29,Evil,Queen,12/7/1948,Customer,17668.07,0,false,evilqueen,Fun!23
30,Pinocchio,Disney,6/18/1959,Customer,15332.82,0,true,pinocchiodisney,Fun!23
31,Prince,Eric,2/8/1941,Customer,7432,0,false,princeeric,Fun!23
32,Quasimodo,Disney,12/25/1971,Customer,18002.61,0,false,quasimododisney,Fun!23
33,Hercules,Disney,8/3/1907,Customer,12738,0,true,herculesdisney,Fun!23
34,Mulan,Disney,6/1/1961,Customer,14744.3,0,false,mulandisney,Fun!23
35,Lilo,Disney,8/21/1911,Customer,12709.9,0,false,lilodisney,Fun!23
36,Stitch,Disney,9/11/1907,Customer,7499.25,0,false,stitchdisney,Fun!23
37,Daniel,Mejia,11/6/1926,Employee,18648.15,0,false,danielmejia,Fun!23
38,Ashley,Gilmore,12/11/1997,Employee,14551.88,0,true,ashleygilmore,Fun!23
39,Diana,Valles,7/3/1913,Employee,5788.5,0,false,dianavalles,Fun!23
40,Isabella,Gaytan,5/10/1972,Employee,9413.67,0,true,isabellagaytan,Fun!23
41,Diana,Garcia,8/4/1980,Employee,8372.09,0,true,dianagarcia,Fun!23
42,Alexis,Acosta,3/12/1984,Employee,9733.57,0,true,alexisacosta,Fun!23
43,Akinyemi,Akinjayeju,1/16/1988,Employee,14862.02,0,false,akinyemiakinjayeju,Fun!23
44,Bryan,Arriaga,11/4/1992,Employee,11118.8,0,true,bryanarriaga,Fun!23
45,Jessica,Barragan,4/6/1924,Employee,12944.19,0,true,jessicabarragan,Fun!23
46,Ruben,CarmonaMedrano,5/26/1934,Employee,14646.04,0,false,rubencarmonamedrano,Fun!23
47,Brandon,CartwrightLi,11/30/1982,Employee,11424.97,0,false,brandoncartwrightli,Fun!23
48,Jasmin,Cuevas,12/31/1980,Employee,7991.55,0,false,jasmincuevas,Fun!23
49,Luis,Del Campo,9/27/1938,Employee,18712.43,0,true,luisdel campo,Fun!23
50,Garab,Dorji,7/8/1982,Employee,10487.05,0,false,garabdorji,Fun!23
51,Marc,Driver,12/13/1929,Employee,14336.95,0,true,marcdriver,Fun!23
52,Jose,Espinoza Gonzalez,9/2/1931,Employee,6362.98,0,false,joseespinoza gonzalez,Fun!23
53,Alondra,GonzalezAyala,9/8/1948,Employee,6199.24,0,false,alondragonzalezayala,Fun!23
54,Omar,Hoang,9/29/1984,Employee,15587.88,0,false,omarhoang,Fun!23
55,Ian,Islas,1/10/1964,Employee,4548.46,0,false,ianislas,Fun!23
56,Victor,Lopez,7/19/1924,Employee,7853.36,0,true,victorlopez,Fun!23
57,Denisse,LoyaVillalobos,5/11/1991,Employee,13372.56,0,true,denisseloyavillalobos,Fun!23
58,Miguel,Lucero,11/4/1944,Employee,4304.98,0,true,miguellucero,Fun!23
59,Daniel,Lucio,10/17/1959,Employee,14806.48,0,true,daniellucio,Fun!23
60,Ashley,Magallanes,4/18/1920,Employee,11439.29,0,true,ashleymagallanes,Fun!23
61,Leila,Martinez,7/31/1984,Employee,9687.13,0,true,leilamartinez,Fun!23
62,Enrique,Munoz,3/21/1968,Employee,14873,0,true,enriquemunoz,Fun!23
63,Alejandro,Olivas,2/4/1941,Employee,6978.92,0,true,alejandroolivas,Fun!23
64,Santiago,Olivas,12/19/1975,Employee,16773.86,0,false,santiagoolivas,Fun!23
65,Bella,Quintero,3/31/1913,Employee,9068.71,0,false,bellaquintero,Fun!23
66,Samuel,RamosSanchez,7/1/1981,Employee,3114.95,0,false,samuelramossanchez,Fun!23
67,Enrique,Rico,12/20/1919,Employee,7727.02,0,true,enriquerico,Fun!23
68,Emilia,Rivas,4/5/1944,Employee,9392.34,0,true,emiliarivas,Fun!23
69,Mayra,Robles,4/6/1947,Employee,18490.15,0,false,mayrarobles,Fun!23
70,Brian,RodilesDelgado,3/16/1918,Employee,6336.05,0,true,brianrodilesdelgado,Fun!23
71,Seth,Rodriguez,8/9/1955,Employee,18000.11,0,false,sethrodriguez,Fun!23
72,Jorge,RodriguezOrtega,1/15/1904,Employee,6452.59,0,true,jorgerodriguezortega,Fun!23
73,Jose Luis,Rojas,8/28/1955,Employee,5132.63,0,false,jose luisrojas,Fun!23
74,Eduardo,Romero,10/28/1904,Employee,5264.04,0,false,eduardoromero,Fun!23
75,Gustavo,Rubio,6/25/1900,Employee,6903.2,0,false,gustavorubio,Fun!23
76,Sariyah,Russell,12/3/1970,Employee,12093.08,0,false,sariyahrussell,Fun!23
77,Ian,Rybak,5/23/1937,Employee,4389.39,0,true,ianrybak,Fun!23
78,Luis,Sanchez,2/14/1907,Employee,18391.2,0,true,luissanchez,Fun!23
79,Michael,Santoyo,5/11/1987,Employee,18902.18,0,true,michaelsantoyo,Fun!23
80,Gabriela,SigalaAcosta,12/11/1921,Employee,6066.42,0,true,gabrielasigalaacosta,Fun!23
