ID,First Name, Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
1,Mickey,Mouse,10/18/1975,Customer,83.50,2,true,mickeymouse,Fun!23
2,Donald,Duck,2/17/1935,Customer,61.76,4,true,donaldduck,Fun!23
3,Minnie,Mouse,6/24/1925,Customer,11.33,5,false,minniemouse,Fun!23
4,Goofy,Disney,5/19/1977,Customer,21.92,5,true,goofydisney,Fun!23
5,Pluto,Disney,11/1/1965,Customer,14.09,3,false,plutodisney,Fun!23
6,Chip,Disney,9/24/1943,Customer,77.04,3,false,chipdisney,Fun!23
7,Dale,Disney,2/18/1982,Customer,112.93,8,true,daledisney,Fun!23
8,Cinderella,Disney,3/29/1906,Customer,33.41,6,true,cinderelladisney,Fun!23
9,Ariel,Disney,10/26/1965,Customer,43.46,4,false,arieldisney,Fun!23
10,Jasmine,Disney,8/19/1945,Customer,226.32,6,true,jasminedisney,Fun!23
11,Aladdin,Disney,3/21/1975,Customer,10.47,3,false,aladdindisney,Fun!23
12,Simba,Disney,7/24/1966,Customer,41.54,5,false,simbadisney,Fun!23
13,Mufassa,Disney,1/11/1904,Customer,86.94,9,false,mufassadisney,Fun!23
14,Aurora,Disney,9/4/1902,Customer,113.10,5,true,auroradisney,Fun!23
15,Peter,Pan,1/15/1908,Customer,127.79,5,true,peterpan,Fun!23
16,Woody,Disney,2/22/1934,Customer,26.73,3,false,woodydisney,Fun!23
17,Buzz,Lightyear,6/7/1939,Customer,0.82,5,false,buzzlightyear,Fun!23
18,Jafar,Aladdin,10/20/1927,Customer,11.12,5,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,8/28/1928,Customer,103.01,8,true,urselamermaid,Fun!23
20,Beast,Disney,6/13/1947,Customer,30.74,7,true,beastdisney,Fun!23
21,Belle,Disney,6/6/1917,Customer,5.33,5,true,belledisney,Fun!23
22,Cruella,De Vil,6/29/1909,Customer,198.32,4,false,cruellade vil,Fun!23
23,Scar,Lion,10/14/1918,Customer,21.60,6,false,scarlion,Fun!23
24,Simba,King,5/30/1938,Customer,66.12,6,false,simbaking,Fun!23
25,Gaston,Disney,2/28/1928,Customer,95.89,6,false,gastondisney,Fun!23
26,Shere,Khan,9/20/1933,Customer,108.15,4,false,sherekhan,Fun!23
27,Captaiin,Hook,1/10/1976,Customer,126.72,2,false,captaiinhook,Fun!23
28,Kaa,Disney,6/11/1966,Customer,30.63,9,false,kaadisney,Fun!23
